"","gvkey","fyear","tb_innov","tb_innov_neg"
"1",1045,2000,0.233535625011737,0.462960505693232
"2",1045,2001,-0.458321940550543,1.3799994533127
"3",1045,2002,-0.702581398300199,0.271213141947002
"4",1045,2003,-0.953914726608346,0.199138809173095
"5",1075,1999,-1.02971201621977,-0.528177164467287
"6",1075,2000,-0.978599110144782,-0.337518480235636
"7",1075,2001,-1.11258404352856,-0.269396554175088
"8",1075,2002,-1.0948866809589,-0.394128174364532
"9",1075,2003,-1.29856427570183,-0.307561256086551
"10",1075,2004,-1.30013708833778,-0.377737566048929
"11",1075,2005,0.260529212994073,0.121770776027017
"12",1075,2006,0.449909657696884,0.413240302607409
"13",1075,2007,0.806844050016889,-0.274548401369344
"14",1075,2008,-1.12362972149406,0.230297334905645
"15",1075,2009,0.195825984922914,-0.49646774819292
"16",1078,1990,0.494045145115091,-1.07712097786315
"17",1078,1991,-0.0990075314974949,-0.540988633091661
"18",1078,1992,-0.77265840854667,-0.342922929651857
"19",1078,1993,0.481362799151237,-1.07712097786315
"20",1078,1994,-0.333178379697471,-1.07712097786315
"21",1078,1996,0.550490102368491,-1.07712097786315
"22",1078,1997,0.734614078808288,-0.508000693253448
"23",1078,1998,-0.01397762479713,-0.567437836387724
"24",1078,1999,-0.0898450281812566,0.474488810835929
"25",1078,2000,0.37240180859321,-0.194982760454046
"26",1078,2001,-0.428374355957475,0.107780093390455
"27",1078,2005,-0.429696174275386,-0.477563142066416
"28",1078,2006,-0.358988622030906,0.202776811303305
"29",1078,2008,0.335711222432507,-0.594722093243397
"30",1161,1990,2.33234140242129,2.65949541858871
"31",1161,1991,-0.603532695522322,-1.07712097786315
"32",1161,1992,2.43680420028366,2.13004599030221
"33",1161,1993,0.575291049171954,2.39821981903368
"34",1161,1994,2.06202695366386,-1.07712097786315
"35",1161,1997,1.51922882356558,-1.07712097786315
"36",1161,1998,2.28618213865473,2.40917991630202
"37",1161,1999,1.72554847965261,2.05897926582885
"38",1161,2001,2.16032591295265,2.88560004189696
"39",1161,2002,1.67377584547353,2.48857870585657
"40",1161,2003,1.64281851227718,1.86897622150395
"41",1161,2005,1.74925062201831,1.62734888351231
"42",1161,2006,1.98780465915529,0.996925721036945
"43",1161,2008,1.34275064444139,1.2204389907247
"44",1161,2009,1.45313311672004,1.51779868412757
"45",1161,2010,1.41870179031777,0.775076498723554
"46",1164,1997,1.87686209153146,-1.07712097786315
"47",1164,1998,2.51973775502064,-1.07712097786315
"48",1164,1999,2.36002357003527,1.13050282889719
"49",1164,2001,1.59877587045984,1.84220168485189
"50",1164,2002,0.89958058591195,2.93306951157585
"51",1209,1990,-0.987161412486964,-0.133981920703236
"52",1209,1991,0.502245050691169,-0.570327547048735
"53",1209,1992,-1.6914425266462,-1.07712097786315
"54",1209,1993,-0.633175235723762,-1.07712097786315
"55",1209,1994,0.19358048309214,-1.07712097786315
"56",1209,1995,0.240659773042228,-1.07712097786315
"57",1209,1996,0.159115630709379,-1.07712097786315
"58",1209,1997,-0.37832370193323,-1.07712097786315
"59",1209,1998,0.624002027420559,-0.554943372457899
"60",1209,1999,-0.123721580307003,-0.627339002674462
"61",1209,2000,-0.670500849324,-0.563298703175687
"62",1209,2001,-0.616262858230677,-0.524719658993082
"63",1209,2002,0.37922671661837,-0.408275974831223
"64",1209,2003,-0.140168871302129,0.332504864988247
"65",1209,2004,-0.25305670650816,-0.212911434964973
"66",1209,2005,-0.838233671418064,-0.594705975699287
"67",1209,2006,0.484086719697535,-0.509584726610756
"68",1209,2007,0.267181168306933,-0.742505082002746
"69",1209,2008,0.529205935953558,-0.785105165378429
"70",1209,2009,-0.163537635574728,0.44415015621119
"71",1209,2010,-0.200672268902465,-0.549940348408918
"72",1239,1990,-0.858066321541276,-1.07712097786315
