n,名词,n
ns,地名,n
nsf,音译地名,n
nt,机构团体名,n
nz,其它专名,n
nl,名词性惯用语,n
ng,名词性语素,n
v,动词,v
vd,副动词,v
vn,名动词,v
vf,趋向动词,v
vx,形式动词,v
vi,不及物动词（内动词）,v
vl,动词性惯用语,v
vg,动词性语素,v
a,形容词,a
ad,副形词,a
an,名形词,a
ag,形容词性语素,a
al,形容词性惯用语,a
d,副词,d
