手机编号,商品标题,价格,品牌,机身厚度,机身重量,屏幕尺寸,ROM内存,前置摄像头像素,后置摄像头像素,指纹识别,GPS定位,促销信息,总评论数,好评数,中评数,差评数
1185983,自营 联想(Lenovo) S850T 16G 蜜桃粉 移动3G手机 双卡双待,369,联想（Lenovo）,8.2,140,5,16,500,,0,1,0,13300,12436,534,330
1211624,自营 联想(Lenovo) 黄金斗士A8 (A806) 黑色 联通4G手机,499,联想（Lenovo）, ,150, , ,500,1300, , ,0,5499,5010,302,187
1334370,自营 联想(Lenovo) 黄金斗士 Note8 (A938t) 移动增强版 深邃黑 移动4G手机 双卡双待,499,联想（Lenovo）,8.7,190,6,8,500,1300,0,,0,18000,17038,561,401
1386564,自营 联想 (Lenovo) 黄金斗士 S8 (A7600-m) 珍珠白 移动4G手机 双卡双待,599,联想（Lenovo）,7.99,155,5.5,8,500,1300,0,1,0,39253,36348,1830,1075
1386581,自营 联想(Lenovo) 黄金斗士S8 (A7600-m) 星夜黑 移动4G手机 双卡双待,489,联想（Lenovo）,7.99,155,5.5,8,500,1300,,1,0,39251,36347,1829,1075
1401447,自营 联想(Lenovo) A396 蜜桃粉 联通3G手机,199,联想（Lenovo）, ,124, , ,,200, , ,0,6428,5715,410,303
1433349,自营 联想 乐檬 K3（K30-E）16G 典雅黄 电信4G手机 双卡双待,499,联想（Lenovo）,7.9,128,5,16,200,800,0,,1,7108,6600,287,221
1595605,自营 联想 黄金斗士S8畅玩（A5860）16GB 酷炫黑 移动4G手机 双卡双待,799,联想（Lenovo）,8.5,146,5.5,2,200,800,0,1,0,3316,3032,166,118
1695224,自营 联想(Lenovo) K80M 星夜黑 移动联通4G手机,699,联想（Lenovo）, ,160, , ,500,1300, , ,0,1264,1113,80,71
2028159,自营 联想(Lenovo) P1 16G 骑士银 移动联通4G手机,939,联想（Lenovo）,9.9,187,5.5,16,500,1300,1,1,0,3455,3227,122,106
2076459,自营 联想(Lenovo) P1 16G 伯爵金 移动联通电信4G手机,999,联想（Lenovo）,9.9,187,5.5,16,500,1300,1,1,0,3456,3228,122,106
2140244,自营 联想 乐檬 X3（X3c50） 32G 珠峰白 移动联通4G手机 双卡双待,1399,联想（Lenovo）,9.3,175,5.5,32,800,2100,1,1,0,13502,12829,384,289
2140249,自营 联想 乐檬 X3（X3c70） 64G 珠峰白 移动联通电信4G手机 双卡双待,1599,联想（Lenovo）, ,175, , ,800,2100, , ,0,13501,12828,384,289
2145111,自营 【预售】联想 乐檬 X3（X3c50） 双4G版手机 乐檬VR眼镜 Hi-Fi耳机,2499,联想（Lenovo）,9.3,175,5.5,32,800,2100,1,1,0,112,101,3,8
2250255,自营 联想 乐檬3 （K32C36）16GB 金色 移动4G手机 双卡双待,699,联想（Lenovo）,8.2,142,5,16,500,1300,0,1,0,55015,51553,2149,1313
2871614,自营 联想（lenovo）乐檬K31-t3 8G 黑色 移动4G手机 双卡双待,449,联想（Lenovo）,8,128,5,8,500,800,,1,0,55607,51995,2347,1265
2951267,自营 联想 乐檬3 （K32C36）16GB 金色 移动4G手机 双卡双待+dostyle HS301入耳式金属手机耳机 香槟金,798,联想（Lenovo）, ,142, , ,500,1300, , ,0,0,0,0,0
3211224,自营 联想 乐檬 X3（X3c50） 32G 珠峰白 移动联通4G手机 双卡双待+dostyle HS301入耳式金属手机耳机 香槟金,1478,联想（Lenovo）, ,175, , ,800,2100, , ,0,0,0,0,0
3211226,自营 联想 (Lenovo) 黄金斗士 S8 珍珠白 移动4G手机+dostyle HS301入耳式金属手机耳机 香槟金,678,联想（Lenovo）, ,155, , ,500,1300, , ,0,0,0,0,0
3423304,自营 联想（Lenovo）乐檬 K5 Note (K52t38）2G+16G 酷炫银 移动4G手机 双卡双待,699,联想（Lenovo）,8.49,165,5.5,16,800,1300,1,1,0,2038,1944,56,38
3513173,自营 【新品】联想 乐檬K10(K10e70) 典雅黑 2GB+16GB 双卡双待,549,联想（Lenovo）,7.95,145,5,16,200,800,0,1,0,8521,7867,364,290
3613977,自营 联想 （Lenovo）P2 (P2c72）4G+64G 伯爵金 移动联通电信 全网通 双卡双待,2499,联想（Lenovo）,8.2,175,5.5,64,500,1300,1,1,0,9,9,0,0
3613997,自营 联想 （Lenovo）P2 (P2c72）4G+64G 深空灰 移动联通电信 全网通 双卡双待,2499,联想（Lenovo）,8.2,175,5.5,64,500,1300,1,1,0,9,9,0,0
3944102,自营 【新品】联想乐檬K10(K10e70) 融雪白 2GB+16GB双卡双待,549,联想（Lenovo）,7.95,145,5,2,800,800,0,1,0,8521,7867,364,290
10395217332,美图(Meitu)M6手机 全网通 4G手机 月光白 标配版 (3G RAM+64G ROM),3199,美图（Meitu）, , ,5,64,2100,2100,1,1,1,36,31,1,4
10399045323,美图M6 手机 月光白 全网通4G(3G RAM+64G ROM)标配A,3299,美图（Meitu）, , ,5,64,2100,2100,1,1,1,694,655,15,24
10399684460,美图 美图M6 全网通4G美颜自拍手机 樱花粉,3059,美图（Meitu）, , ,5,64,2100,2100,1,1,1,345,319,12,14
10402906439,美图(Meitu) V4S 4G手机 蔷薇粉 移动联通(3G RAM+128G ROM) 标配,4999,美图（Meitu）, , ,5,128,2100,2100,0,1,0,114,107,3,4
10412069591,京东配送 京东配送美图(Meitu) 美图M6 全网通4G(3G运行+64G机身内存) 美颜自拍手机 Hello Kitty特别版 樱花粉,3299,美图（Meitu）, , ,5,64,2100,2100,1,1,0,2561,2449,44,68
10415140494,美图M6 手机 樱花粉 全网通 (3G RAM+64G ROM) 标配,3149,美图（Meitu）, , ,5,64,2100,2100,1,1,1,591,555,19,17
10416687137,美图(Meitu) M6 全网通4G手机 樱花粉,3049,美图（Meitu）, , ,5,64,2100,2100,1,1,0,1217,1142,26,49
10419930777,美图(Meitu) V4S 4G手机 白色 移动联通(3G RAM+128G ROM) 标配,4999,美图（Meitu）, , ,5,128,2100,2100,0,1,0,8,8,0,0
10426625323,美图V4S 手机 极光白 双4G (3G RAM+128G ROM) 标配,4999,美图（Meitu）, , ,5,128,2100,2100,2,1,0,65,58,1,6
10435654615,美图 M6 全网通手机 樱花粉,3299,美图（Meitu）, , ,5,64,2100,2100,1,1,0,21,20,0,1
10466151634,美图 (Meitu) 美图M6 美颜自拍手机 樱花粉 全网通4G(3G RAM+64G ROM),3048,美图（Meitu）, , ,5,64,2100,2100,1,1,0,207,197,6,4
10499411328,美图(Meitu) 美图M6 全网通 美颜自拍手机 Hello Kitty特别版 樱花粉 全网通(3G RAM+64G ROM)标准,3299,美图（Meitu）, , ,5,,2100,2100,1,1,0,79,79,0,0
10528721771,京东配送 美图(Meitu) 美图V4S 美图V4升级版 移动/联通双4G 美颜自拍手机 雅致版蓝,5699,美图（Meitu）, , ,5,128,2100,2100,0,1,0,88,84,1,3
10541210582,美图(Meitu) 美图M6 全网通4G手机 月光白 Hello Kitty特别版 3G RAM+64G ROM 自拍手机,3249,美图（Meitu）, , ,5,64,2100,2100,1,1,0,39,36,2,1
10574826759,美图M6 全网通4G 美颜 自拍手机 (3G RAM+64G ROM) 月光白,3288,美图（Meitu）, , ,5,64,2100,2100,1,1,0,86,86,0,0
10824400190,美图 Meitu M6 美颜自拍手机 樱花粉 全网通标准版(3G RAM+64G ROM),3049,美图（Meitu）, , ,5,64,2100,2100,1,1,0,11,11,0,0
1326706,自营 摩托罗拉 moto x（x+1）(XT1085) 16GB 绿松蓝 移动联通电信4G手机,999,摩托罗拉（Motorola）,,144,5.2,16,200,1300,0,1,0,23538,21575,1122,841
1326950,自营 摩托罗拉 moto x（x+1）(XT1085) 32GB 黑檀木 移动联通电信4G手机,1699,摩托罗拉（Motorola）,,144,5.2,32,200,1300,0,1,0,5437,4993,248,196
1326953,自营 摩托罗拉 moto x（x+1）(XT1085) 32GB 天然竹 移动联通电信4G手机,1499,摩托罗拉（Motorola）,,144,5.2,32,200,1300,0,1,0,8852,8008,447,397
1341838,自营 摩托罗拉 moto g （XT1079）8GB 月白 移动联通4G手机 双卡双待,599,摩托罗拉（Motorola）, ,155, , ,200,800, , ,0,21068,19235,1079,754
1341911,自营 摩托罗拉 moto g （XT1079）16GB 月白 移动联通4G手机 双卡双待,699,摩托罗拉（Motorola）, ,155, , ,200,800, , ,0,21068,19235,1079,754
1398253,自营 摩托罗拉 moto x pro(XT1115) 32GB 黑色 全网通4G手机,1799,摩托罗拉（Motorola）, ,184, , ,200,1300, , ,0,4351,4024,176,151
1851296,自营 摩托罗拉 Moto X Style (XT1570) 32GB 冰山白 移动联通电信4G手机,1799,摩托罗拉（Motorola）,,179,5.7,32,500,2100,0,1,1,4263,3944,196,123
2223741,自营 摩托罗拉 moto x 极( XT1581) 64GB 玛雅黑 移动联通电信4G手机,2999,摩托罗拉（Motorola）,,166,5.4,64,500,2100,0,1,0,1009,941,38,30
2223753,自营 摩托罗拉 moto x 极( XT1581) 64GB 梵蒂白 移动联通电信4G手机,2999,摩托罗拉（Motorola）,,166,5.4,64,500,2100,0,1,1,1009,941,38,30
3220617,自营 摩托罗拉 Moto Mods 摩眼-哈苏摄影模块,2299,摩托罗拉（Motorola）, , , , , , , , ,0,9915,9634,155,126
3499302,自营 摩托罗拉 Moto Z(XT1650-05) 模块化手机 流金黑 移动联通电信4G手机 双卡双待,3999,摩托罗拉（Motorola）,5.19,134,5.5,64,500,1300,1,1,1,9915,9634,155,126
3613961,自营 摩托罗拉 Moto M(XT1662) 4G+32G 耀世金移动联通电信4G手机 双卡双待,1999,摩托罗拉（Motorola）,7.85,7.85,5.5,32,800,1600,1,1,0,43,42,1,0
3650504,自营 摩托罗拉 Moto Z Play(XT1635-03) 模块化手机 爵士黑 移动联通电信4G手机 双卡双待,3299,摩托罗拉（Motorola）,6.9,165,5.5,64,500,1600,1,1,1,9915,9634,155,126
3650544,自营 摩托罗拉 Moto Z Play(XT1635-03) 模块化手机 贵族白 移动联通电信4G手机 双卡双待,3299,摩托罗拉（Motorola）,6.9,165,5.5,64,500,1600,1,1,1,9915,9634,155,126
10550190104,摩托罗拉 Moto X Style (XT1570) 4G手机 双卡双待 曜石黑 全网通(3G RAM+ 16G ROM)标配,1519,摩托罗拉（Motorola）, , ,5.7,,500,2100,0,1,0,205,185,11,9
10583182431,摩托罗拉(Motorola) moto x 极 (XT1581) 4G手机 双卡双待 玛雅黑 全网通(3G RAM+64G ROM)标配,1999,摩托罗拉（Motorola）, , ,,64,500,2100,2,1,0,48,43,3,2
10644609059,摩托罗拉 Moto Z Play(XT1635-03) 4G手机 双卡双待 爵士黑 全网通(3G RAM+64G ROM)标配,3299,摩托罗拉（Motorola）, , ,5.5,64,500,1600,2,1,0,7,7,0,0
10648027652,摩托罗拉Moto Z Play(XT1635-03) 模块化手机 贵族白 全网通(3G RAM + 64G ROM)标配版,3299,摩托罗拉（Motorola）, , ,5.5,64,500,1600,2,2,1,47,47,0,0
10653052410,摩托罗拉 moto x（x+1）(XT1085) 4G手机 雅典黑 全网通(2G RAM+16G ROM),1069,摩托罗拉（Motorola）, , ,5.2,16,200,1300,0,1,0,23,22,1,0
10674624579,摩托罗拉 Moto Z Play 4G手机 双卡双待 爵士黑 全网通(3G RAM+64G ROM)标配,3299,摩托罗拉（Motorola）, , ,5.5,64,500,1600,2,1,1,9,8,0,1
10707368054,摩托罗拉 Moto Z 手机+一整套模块(摩电+影+音+哈苏+2摩范) (4G RAM + 64G ROM),9396,摩托罗拉（Motorola）, , ,5.5,64,500,1300,1,1,1,140,130,3,7
10767563143,摩托罗拉 Moto G XT1079 4G手机 双卡双待 白色 移动联通(1G RAM+8G ROM)标配,599,摩托罗拉（Motorola）, , ,5,,200,800,0,1,0,3,2,1,0
10839123525,摩托罗拉 Moto Z (XT1650-05) 全网通4G手机 黑色斜纹背壳 (不包含手机) (4G RAM+64G ROM) 标配版,129,摩托罗拉（Motorola）, , ,5.5,64,,1300,1,1,0,15,15,0,0
10883563462,摩托罗拉 Moto M（XT1662）手机 金色 全网通 (4G RAM+32G ROM)标配版,1999,摩托罗拉（Motorola）, , ,5.5,,800,1600,1,1,1,0,0,0,0
10926219532,摩托罗拉(Motorola) Moto M(XT1662) 4G手机 双卡双待 耀世金 全网通(4G RAM+32G ROM)标配,1999,摩托罗拉（Motorola）, , ,5.5,32,800,1600,1,1,0,0,0,0,0
1540117,自营 努比亚(nubia)【3+32GB】Z9 黑色 移动联通电信4G手机 双卡双待,2199,努比亚（nubia）, ,192, , ,800,1600, , ,0,20153,18528,893,732
1901836,自营 努比亚(nubia)【2+16GB】大牛4 Z9 Max 黑色 移动联通4G手机 双卡双待,999,努比亚（nubia）, ,165, , ,800,1600, , ,0,57774,53160,2580,2034
2184535,自营 努比亚（nubia）小牛4 Z9mini尊享版 金色 移动联通电信4G手机 双卡双待,1099,努比亚（nubia）, ,147, , ,800,1600, , ,0,116635,106701,5833,4101
3101526,自营 努比亚(nubia)【3+64GB】小牛5 Z11mini 金色 移动联通电信4G手机 双卡双待,1089,努比亚（nubia）,8,138,5,64,800,1600,1,1,1,94561,88877,3349,2335
3102991,自营 努比亚(nubia)【4+64GB】Z11Max 百合金 移动联通电信4G手机双卡双待,1799,努比亚（nubia）,7.4,185,6,64,800,1600,1,1,1,8502,8107,216,179
3139087,自营 努比亚(nubia)【3GB+64GB】N1 金色 移动联通电信4G手机 双卡双待,1699,努比亚（nubia）,8.9,190,5.5,64,1300,1300,1,1,0,86,81,4,1
3166434,自营 努比亚(nubia)【4+64GB】Z11 星空灰（锖色） 移动联通电信4G手机双卡双待,2499,努比亚（nubia）,7.5,162,5.5,64,800,1600,1,1,1,22865,22176,413,276
3250951,自营 努比亚(nubia)【4+64GB】Z11 （百合金）移动联通电信4G手机 双卡双待,2499,努比亚（nubia）,7.5,162,5.5,64,800,1600,1,1,0,22866,22177,413,276
3865398,自营 努比亚(nubia)【4+64GB】小牛6 Z11 miniS 香槟金 移动联通电信4G手机 双卡双待,1499,努比亚（nubia）,7.6,158,5.2,64,1300,2300,1,1,0,32019,30553,837,629
3603593,自营 诺基亚(NOKIA) 216 双卡双待 (RM-1187) 蓝色 移动联通2G手机 双卡双待,349,诺基亚（Nokia）,13.5,82.6,2.4,,30,,0,0,0,262127,246766,9945,5416
3888686,自营 诺基亚(NOKIA) 105 (RM-1134) 白色 移动联通2G手机,179,诺基亚（Nokia）,14.1,69.6,,,,0,0,0,0,262123,246762,9945,5416
1561145211,诺基亚（NOKIA）N1平板电脑7.9英寸视网膜屏8 WIFI 32GB容量 天然铝灰 (未拆封) 官方标配,1148,诺基亚（Nokia）, , , , ,,, , ,0,3003,2668,170,165
2145649,自营 Apple iPhone 6s (A1700) 16G 玫瑰金色 移动联通电信4G手机+dostyle蓝牙耳机套装,3898,苹果（Apple）, ,143, , ,500,1200, , ,0,166634,161137,2732,2765
2182165,自营 Apple iPhone 6s (A1700) 16G 金色 移动联通电信4G手机+dostyle一体式USB蓝牙耳机,4098,苹果（Apple）, ,143, , ,500,1200, , ,0,133846,130215,1803,1828
3323455,自营 Apple iPhone 7 (A1660) 32G 黑色 移动联通电信4G手机 套装版（含蓝牙通话耳机）,5498,苹果（Apple）,7.1,138,4.7,32,700,1200,1,1,0,18784,18039,338,407
3323457,自营 Apple iPhone 7 (A1660) 128G 亮黑色 移动联通电信4G手机 套装版（含蓝牙通话耳机）,6198,苹果（Apple）,7.1,138,4.7,128,700,1200,1,1,0,11960,11523,165,272
3344021,自营 Apple iPhone 7 (A1660) 128G 银色 + dostyle HS503一体式USB蓝牙耳机 苹果白,5978,苹果（Apple）,7.1,138,4.7,128,700,1200,1,1,0,5477,5255,102,120
3344041,自营 Apple iPhone 7 (A1660) 128G 黑色 + dostyle HS503一体式USB蓝牙耳机 橄榄黑,5978,苹果（Apple）,7.1,138,4.7,128,700,1200,1,1,0,26488,25403,564,521
3344043,自营 Apple iPhone 7 Plus (A1661) 128G 黑色 + dostyle HS503一体式USB蓝牙耳机 橄榄黑,7287,苹果（Apple）,7.3,188,5.5,128,700,1200,1,1,0,13687,13358,121,208
3644482,自营 【联通自主入网版】Apple iPhone 7 128G 金色 移动联通电信4G手机,5999,苹果（Apple）,,,,,,,,,0,167,162,1,4
3753802,自营 Apple iPhone 7 Plus (A1661) 32G 黑色 移动联通电信4G手机 套装版（含蓝牙通话耳机）,6687,苹果（Apple）,7.3,188,5.5,32,700,1200,1,1,0,12833,12543,116,174
3753808,自营 Apple iPhone 7 Plus (A1661) 128G 亮黑色 移动联通电信4G手机 套装版（含蓝牙通话耳机）,7487,苹果（Apple）,7.3,188,5.5,128,700,1200,1,1,0,3911,3819,37,55
3774250,自营 Apple iPhone 7 (A1660) 32G 银色 + dostyle HS503一体式USB蓝牙耳机 苹果白,5278,苹果（Apple）,7.1,138,4.7,32,700,1200,1,1,0,16389,15153,745,491
3774252,自营 Apple iPhone 7 Plus (A1661) 128G 银色 + dostyle HS503一体式USB蓝牙耳机 苹果白,7287,苹果（Apple）,7.3,188,5.5,128,700,1200,1,1,0,1512,1473,20,19
979281,自营 三星 W789 奢华金 电信3G手机 双卡双待双通,899,三星（SAMSUNG）, ,208, , ,0,500, , ,0,7955,7324,281,350
1155355,自营 三星（SAMSUNG）大器III尊贵版（SM-G9092） 联通手机（名仕蓝）双卡双待双通,3199,三星（SAMSUNG）, ,179, , ,200,1300, , ,0,372,337,11,24
1220064,自营 三星 Galaxy Note4 (N9100) 幻影白 移动联通4G手机 双卡双待,1899,三星（SAMSUNG）, ,175, , ,370,1600, , ,1,49685,46962,1437,1286
1284030,自营 三星 I9158V 白色 移动4G手机,699,三星（SAMSUNG）, ,182, , ,190,800, , ,0,15324,14375,550,399
1292929,自营 三星 W2015 金色 电信4G手机 双卡双待双通,7999,三星（SAMSUNG）, ,187, , ,200,1600, , ,0,304,291,5,8
1385679,自营 三星 Galaxy A7 (SM-A7000) 魔幻金 移动联通4G手机 双卡双待,999,三星（SAMSUNG）,6.3,141,5.5,16,500,1300,2,1,0,57722,54111,2023,1588
1398971,自营 三星 Galaxy A3 (A3009) 黑色 电信4G手机 双卡双待,738,三星（SAMSUNG）, ,107.85, , ,500,800, , ,0,7314,6761,320,233
1429868,自营 三星 Galaxy S6（G9209）32G版 雪晶白 电信4G手机 双卡双待,2399,三星（SAMSUNG）,6.8,140,5.1,32,500,1600,2,2,0,27144,25624,798,722
1708185,自营 三星 Galaxy A8（A8000）32G版 雪域白 移动联通电信4G手机 双卡双待,1699,三星（SAMSUNG）, ,151, , ,500,1600, , ,0,29536,27800,915,821
1750526,自营 三星 Galaxy S6 Edge+（G9280）32G版 雪晶白 全网通4G手机,3798,三星（SAMSUNG）, ,153, , ,500,1600, , ,0,20860,20133,356,371
1859122,自营 三星 Galaxy Note5（N9200）32G版 铂光金 全网通4G手机 双卡双待,3799,三星（SAMSUNG）,7.6,171,5.7,32,500,1600,2,1,0,14842,14314,276,252
2206053,自营 三星 Galaxy A5 (SM-A5100) 魔幻金 全网通4G手机 双卡双待,1588,三星（SAMSUNG）,7.3,155,5.2,16,500,1300,2,1,1,23537,22137,800,600
2288929,自营 三星 Galaxy A9 (SM-A9000) 魔幻金 全网通4G手机 双卡双待,1999,三星（SAMSUNG）,7.4,200,6,32,800,1300,1,1,0,28071,26718,731,622
2868435,自营 三星 Galaxy C5（SM-C5000）32G版 蔷薇粉 移动联通电信4G手机 双卡双待,2199,三星（SAMSUNG）,6.7,143,5.2,32,800,1600,1,1,1,5815,5487,177,151
2895156,自营 三星GALAXY J3 Pro（J3110）金 移动联通4G手机,799,三星（SAMSUNG）,8,139,5,16,500,800,0,1,0,9307,8765,295,247
3153148,自营 三星 Galaxy C7（SM-C7000）32G版 枫叶金 移动联通电信4G手机 双卡双待,2599,三星（SAMSUNG）,6.8,169,5.7,32,800,1600,2,1,1,7471,7158,155,158
3243260,自营 三星 Galaxy S7 edge（G9350） 32G 珊瑚蓝 移动联通电信4G手机 双卡双待 骁龙820手机,5688,三星（SAMSUNG）,7.7,157,5.5,32,500,1200,2,1,0,79332,76112,1517,1703
3686824,自营 三星 2016版 Galaxy On7（G6100）32G 流沙金 全网通 4G手机 双卡双待,1799,三星（SAMSUNG）,8,167,,,800,1300,1,1,1,1077,1022,28,27
3821796,自营 三星 2016版 Galaxy On5 （G5700） 32G 臻金版 流沙金 全网通 4G手机 双卡双待,1299,三星（SAMSUNG）,8.1,143,5,32,800,1300,,1,1,5723,5386,192,145
3909950,自营 【定金版】三星 Galaxy C9 Pro（C9000）64G 枫叶金 全网通 4G手机 双卡双待,3199,三星（SAMSUNG）,6.9,189,6,64,1600,1600,1,1,1,3443,3216,89,138
1673109942,京东配送 索尼(SONY)Xperia Z3+ E6533 防水防尘 移动联通双4G手机 黛丽黑,2999,索尼（SONY）, , ,5.2,32,500,2070,0,1,0,2041,1833,99,109
1816276354,京东配送 索尼(SONY) E6883 Xperia Z5尊享版 移动联通双4G 指纹解锁 镜像银,5199,索尼（SONY）, , ,5.5,32,500,2300,1,1,1,2897,2735,77,85
10065260353,京东配送 索尼(SONY)Xperia Z5 E6683 索尼z5 移动联通双4G 双卡手机 青川绿,3949,索尼（SONY）, , ,5.2,32,500,2300,1,1,0,1441,1343,51,47
10069410228,京东配送 索尼(SONY)Xperia Z5 E6683 索尼z5 移动联通双4G 双卡手机 原素白,3949,索尼（SONY）, , ,5.2,32,500,2300,1,1,0,1441,1343,51,47
10654370492,京东配送 索尼(SONY) F8332 Xperia XZ 五轴防抖 移动联通双4G 指纹解锁 静谧蓝 64G,4999,索尼（SONY）, , ,5.2,64,1300,2300,1,1,0,620,571,28,21
1514842,自营 小米 Note 移动定制 白色 移动联通双4G手机 双卡双待,888,小米（MI）,6.95,161,5.7,16,400,1300,2,1,1,86759,82158,2249,2352
2025574,自营 小米 4c 标准版 全网通 白色 移动联通电信4G手机 双卡双待,699,小米（MI）, ,132, , ,500,1300, , ,0,102052,96328,3229,2495
2351657,自营 小米 红米Note3 全网通版 2GB+16GB 金色 移动联通电信4G手机 双卡双待,799,小米（MI）,8.65,164,5.5,16,500,1600,1,1,0,545504,522412,12503,10589
2402692,自营 小米5 全网通 标准版 3GB内存 32GB ROM 白色 移动联通电信4G手机,1599,小米（MI）,7.25,129,5.15,32,400,1600,1,1,0,127190,120552,3429,3209
2788767,自营 小米 Max 全网通 3GB内存 32GB ROM 金色 移动联通电信4G手机,1299,小米（MI）,7.5,203,6.44,32,500,1600,1,1,0,125988,121020,2625,2343
3057077,自营 小米 红米Pro 标准全网通版 3GB+32GB 金色 移动联通电信4G手机 双卡双待,1099,小米（MI）,8.15,174,5.5,32,500,1300,1,1,0,34979,33259,966,754
3141248,自营 小米 红米 3S 全网通 2GB内存 16GB ROM 经典金色 移动联通电信4G手机 双卡双待,699,小米（MI）,8.5,144,5,16,500,1300,1,1,0,625194,597656,15381,12157
3311953,自营 小米5s 全网通版 4GB内存 32GB ROM 哑光金 移动联通电信4G手机,1899,小米（MI）,8.25,145,5.15,32,400,1200,1,1,0,50668,48607,1238,823
3322621,自营 小米5s Plus 全网通 标准版 4GB内存 64GB ROM 金色 移动联通电信4G手机,2299,小米（MI）,7.95,168,5.7,64,400,1300,1,1,0,37346,36360,536,450
3553571,自营 小米 红米Note4 全网通版 3GB+32GB 金色 移动联通电信4G手机,999,小米（MI）,8.35,175,5.5,32,500,1300,1,1,0,165584,158352,4221,3011
2699502,自营 中兴（ZTE）U288+ 移动2G/联通2G 老人手机 黑色,188,中兴（ZTE）,13,126,2.4,,,0,0,2,0,42686,39711,1907,1068
2758737,自营 中兴（ZTE）L530G 移动/联通2G 老人手机 红色,199,中兴（ZTE）, ,80, , ,,0, , ,0,24127,22631,926,570
2866794,自营 中兴（ZTE）Q2S-T 白色 移动4G手机,399,中兴（ZTE）, ,151, , ,500,800, , ,0,1485,1398,47,40
2870951,自营 中兴（ZTE）L550移动联通2G 老人手机 金色,188,中兴（ZTE）,8,100,2.4,,,,0,0,0,22609,21276,790,543
2883233,自营 中兴（ZTE）L680 移动/联通2G 老人手机 儒雅黑,218,中兴（ZTE）, ,108, , ,,30, , ,0,2201,2088,61,52
3014422,自营 中兴（ZTE） AXON天机7(A2017) 华尔金 移动联通电信4G 双卡双待 标配版,3099,中兴（ZTE）,7.9,175,5.5,64,800,2000,1,1,1,2912,2805,67,40
3101502,自营 中兴(ZTE) Blade A2 (BV0720) 珍珠银 移动联通电信4G 双卡双待,649,中兴（ZTE）,7.9,135,5,16,500,1300,1,1,1,56937,53438,2225,1274
3370431,自营 中兴(ZTE) A2 Plus 4GB+32GB高配 流光金 全网通4G双卡双待,999,中兴（ZTE）,9.8,189,5.5,32,800,1300,1,1,1,6745,6337,257,151
3378344,自营 优学派中兴 学生学习手机A1 全网通移动联通电信4G手机 （高配） 金色,2398,中兴（ZTE）, , , , , , , , ,0,2465,2316,92,57
3503484,自营 中兴（ZTE）V88 移动/联通2G翻盖老人手机 金色,288,中兴（ZTE）,19,110,2.4,,,,0,0,0,3125,2987,85,53
3554753,自营 中兴（ZTE）天机7MAX（C2017） 华尔金 移动联通电信4G 双卡双待,2999,中兴（ZTE）,8.2,196,6,64,1300,1300,1,1,0,534,527,7,0
