date,CIMV_SHSE50ETF,CIMV_SHSE300ETF,CIMV_SZSE300ETF,CIMV_CSI300Index
2015-08-12 00:00:00,36.58277241,,,
2015-08-13 00:00:00,36.37451926,,,
2015-08-14 00:00:00,36.37374468,,,
2015-08-17 00:00:00,36.51070716,,,
2015-08-18 00:00:00,33.558985,,,
2015-08-19 00:00:00,34.12348308,,,
2015-08-20 00:00:00,33.87958755,,,
2015-08-21 00:00:00,31.2000396,,,
2015-08-24 00:00:00,21.75617964,,,
2015-08-25 00:00:00,40.10076553,,,
2015-08-26 00:00:00,58.80665394,,,
2015-08-27 00:00:00,57.23234954,,,
2015-08-28 00:00:00,57.54906332,,,
2015-08-31 00:00:00,58.61952233,,,
2015-09-01 00:00:00,59.1442284,,,
2015-09-02 00:00:00,56.5099353,,,
2015-09-07 00:00:00,55.14939198,,,
2015-09-08 00:00:00,44.34223135,,,
2015-09-09 00:00:00,42.16869692,,,
2015-09-10 00:00:00,38.3059374,,,
2015-09-11 00:00:00,37.41679485,,,
2015-09-14 00:00:00,38.82941316,,,
2015-09-15 00:00:00,40.89511544,,,
2015-09-16 00:00:00,37.48656244,,,
2015-09-17 00:00:00,37.0117364,,,
2015-09-18 00:00:00,36.99351596,,,
2015-09-21 00:00:00,36.51159447,,,
2015-09-22 00:00:00,33.83520302,,,
2015-09-23 00:00:00,35.49108293,,,
2015-09-24 00:00:00,34.17120046,,,
2015-09-25 00:00:00,31.37824246,,,
2015-09-28 00:00:00,28.41149888,,,
2015-09-29 00:00:00,27.75406133,,,
2015-09-30 00:00:00,27.54062911,,,
2015-10-08 00:00:00,28.21798189,,,
2015-10-09 00:00:00,26.65502176,,,
2015-10-12 00:00:00,25.95801233,,,
2015-10-13 00:00:00,28.61103149,,,
2015-10-14 00:00:00,28.14753988,,,
2015-10-15 00:00:00,26.09614234,,,
2015-10-16 00:00:00,25.84939472,,,
2015-10-19 00:00:00,26.92063292,,,
2015-10-20 00:00:00,27.48777678,,,
2015-10-21 00:00:00,29.06720458,,,
2015-10-22 00:00:00,28.41430112,,,
2015-10-23 00:00:00,27.51521231,,,
2015-10-26 00:00:00,28.99959492,,,
2015-10-27 00:00:00,27.21437288,,,
2015-10-28 00:00:00,28.02443045,,,
2015-10-29 00:00:00,28.17785421,,,
2015-10-30 00:00:00,25.44162645,,,
2015-11-02 00:00:00,26.41933641,,,
2015-11-03 00:00:00,26.61843466,,,
2015-11-04 00:00:00,26.3579012,,,
2015-11-05 00:00:00,28.90980933,,,
2015-11-06 00:00:00,29.20524018,,,
2015-11-09 00:00:00,38.62763555,,,
2015-11-10 00:00:00,39.80543426,,,
2015-11-11 00:00:00,36.44602814,,,
2015-11-12 00:00:00,35.44039661,,,
2015-11-13 00:00:00,34.55940321,,,
2015-11-16 00:00:00,35.332466,,,
2015-11-17 00:00:00,34.69973486,,,
2015-11-18 00:00:00,33.95022283,,,
2015-11-19 00:00:00,33.14134591,,,
2015-11-20 00:00:00,31.22096315,,,
2015-11-23 00:00:00,30.2466863,,,
2015-11-24 00:00:00,28.82416141,,,
2015-11-25 00:00:00,29.32971673,,,
2015-11-26 00:00:00,27.20206757,,,
2015-11-27 00:00:00,31.64058185,,,
2015-11-30 00:00:00,31.55463665,,,
2015-12-01 00:00:00,30.88611919,,,
2015-12-02 00:00:00,29.289013,,,
2015-12-03 00:00:00,29.65480585,,,
2015-12-04 00:00:00,29.36893098,,,
2015-12-07 00:00:00,28.44294033,,,
2015-12-08 00:00:00,28.13923294,,,
2015-12-09 00:00:00,27.81401486,,,
2015-12-10 00:00:00,27.53545503,,,
2015-12-11 00:00:00,27.51791226,,,
2015-12-14 00:00:00,27.6357849,,,
2015-12-15 00:00:00,27.08512743,,,
2015-12-16 00:00:00,26.98000916,,,
2015-12-17 00:00:00,25.85663395,,,
2015-12-18 00:00:00,23.21899178,,,
2015-12-21 00:00:00,23.39840285,,,
2015-12-22 00:00:00,24.77743433,,,
2015-12-23 00:00:00,25.1492466,,,
2015-12-24 00:00:00,24.25888934,,,
2015-12-25 00:00:00,23.34360331,,,
2015-12-28 00:00:00,24.7250361,,,
2015-12-29 00:00:00,24.16226061,,,
2015-12-30 00:00:00,24.35936326,,,
2015-12-31 00:00:00,24.91618455,,,
2016-01-04 00:00:00,26.23516866,,,
2016-01-05 00:00:00,28.79276933,,,
2016-01-06 00:00:00,28.10119099,,,
2016-01-07 00:00:00,23.4850288,,,
2016-01-08 00:00:00,31.6203032,,,
2016-01-11 00:00:00,29.57881054,,,
2016-01-12 00:00:00,32.02779412,,,
2016-01-13 00:00:00,30.81544966,,,
2016-01-14 00:00:00,33.79689277,,,
2016-01-15 00:00:00,31.19945896,,,
2016-01-18 00:00:00,33.26928588,,,
2016-01-19 00:00:00,33.33546947,,,
2016-01-20 00:00:00,32.7098399,,,
2016-01-21 00:00:00,30.63596713,,,
2016-01-22 00:00:00,31.06948282,,,
2016-01-25 00:00:00,30.70471612,,,
2016-01-26 00:00:00,26.04981556,,,
2016-01-27 00:00:00,34.34632001,,,
2016-01-28 00:00:00,33.27787794,,,
2016-01-29 00:00:00,34.56427919,,,
2016-02-01 00:00:00,32.2304276,,,
2016-02-02 00:00:00,31.09688254,,,
2016-02-03 00:00:00,30.81697211,,,
2016-02-04 00:00:00,30.57293092,,,
2016-02-05 00:00:00,31.39485264,,,
2016-02-15 00:00:00,33.46694026,,,
2016-02-16 00:00:00,32.76842622,,,
2016-02-17 00:00:00,31.8275801,,,
2016-02-18 00:00:00,30.14643494,,,
2016-02-19 00:00:00,28.78038235,,,
2016-02-22 00:00:00,27.84537214,,,
2016-02-23 00:00:00,28.8613513,,,
2016-02-24 00:00:00,29.02726118,,,
2016-02-25 00:00:00,29.36853142,,,
2016-02-26 00:00:00,28.88104581,,,
2016-02-29 00:00:00,28.81091942,,,
2016-03-01 00:00:00,27.86362093,,,
2016-03-02 00:00:00,29.12502655,,,
2016-03-03 00:00:00,29.63215947,,,
2016-03-04 00:00:00,29.47022696,,,
2016-03-07 00:00:00,30.42544696,,,
2016-03-08 00:00:00,29.98562041,,,
2016-03-09 00:00:00,29.92313441,,,
2016-03-10 00:00:00,30.02105625,,,
2016-03-11 00:00:00,29.94256996,,,
2016-03-14 00:00:00,29.54462121,,,
2016-03-15 00:00:00,29.04336085,,,
2016-03-16 00:00:00,28.40247146,,,
2016-03-17 00:00:00,28.05669288,,,
2016-03-18 00:00:00,28.00771054,,,
2016-03-21 00:00:00,28.09986781,,,
2016-03-22 00:00:00,29.81463907,,,
2016-03-23 00:00:00,30.59211222,,,
2016-03-24 00:00:00,29.42831649,,,
2016-03-25 00:00:00,27.55567739,,,
2016-03-28 00:00:00,27.5019018,,,
2016-03-29 00:00:00,27.86151529,,,
2016-03-30 00:00:00,27.20136769,,,
2016-03-31 00:00:00,27.54040066,,,
2016-04-01 00:00:00,27.03775723,,,
2016-04-05 00:00:00,26.59207595,,,
2016-04-06 00:00:00,26.49116943,,,
