手机编号,商品标题,价格,品牌,屏幕尺寸,前置摄像头像素,后置摄像头像素,指纹识别,GPS定位,促销信息,总评论数,好评数,中评数,差评数,X,avg_words,速度,物流,送货,包装,客服,售后,发票,电池,系统,性价比,质量,外观,功能,运行,充电,声音,屏幕,耳机,信号,开机,软件
2876449,自营 360手机 N4 全网通 4GB+32GB 阳光白 移动联通电信4G手机 双卡双待,999,360,5.5,500,1300,1,1,1,122745,118606,2377,1762,2876449,32.4150537634409,0.0645161290322581,0.0376344086021505,0.0258064516129032,0.0043010752688172,0.0258064516129032,0.0236559139784946,0.00860215053763441,0.0483870967741935,0.0440860215053763,0.0623655913978495,0.043010752688172,0.0172043010752688,0.0204301075268817,0.0419354838709677,0.0365591397849462,0.00860215053763441,0.0440860215053763,0.00967741935483871,0.021505376344086,0.0139784946236559,0.021505376344086
3097849,自营 360手机 Q5 4GB+128GB 全网通 流光金 移动联通电信4G手机双卡双待,1799,360,5.5,1300,1300,1,1,0,9693,9222,235,236,3097849,42.341504649197,0.0862214708368555,0.0312764158918005,0.0202874049027895,0.0481825866441251,0.0278951817413356,0.0245139475908707,0.00422654268808115,0.073541842772612,0.0853761622992392,0.0718512256973795,0.0287404902789518,0.0371935756551141,0.0431107354184277,0.0397295012679628,0.0321217244294167,0.0169061707523246,0.0633981403212172,0.0202874049027895,0.0245139475908707,0.0126796280642434,0.0185967878275571
3235724,自营 360手机 N4S 全网通版 流光金 4GB+32GB 移动联通电信4G手机 双卡双待,1199,360,5.5,800,1600,1,1,1,126390,120979,3040,2371,3235724,36.3494623655914,0.0688172043010753,0.032258064516129,0.0204301075268817,0.00645161290322581,0.0354838709677419,0.0365591397849462,0.0021505376344086,0.0967741935483871,0.067741935483871,0.0591397849462366,0.0473118279569892,0.032258064516129,0.0182795698924731,0.0354838709677419,0.0559139784946237,0.0139784946236559,0.0376344086021505,0.00967741935483871,0.0290322580645161,0.0204301075268817,0.0311827956989247
3398125,自营 360手机 N4A 全网通 3GB+32GB 流光金 移动联通电信4G手机 双卡双待,899,360,5.5,500,1300,1,1,1,6310,6008,175,127,3398125,25.2465373961219,0.074792243767313,0.056786703601108,0.0277008310249307,0.0415512465373961,0.0124653739612188,0.0138504155124654,0.00415512465373961,0.0623268698060942,0.0415512465373961,0.0692520775623269,0.0166204986149584,0.0304709141274238,0.0332409972299169,0.0346260387811634,0.0290858725761773,0.0193905817174515,0.0304709141274238,0.00277008310249307,0.0110803324099723,0.00692520775623269,0.0110803324099723
3783186,自营 360手机 Q5 4GB+128GB 全网通 流光金 移动联通电信4G手机双卡双待,1799,360,5.5,1300,1300,1,1,1,362,343,12,7,3783186,29.7895683453237,0.0935251798561151,0.0503597122302158,0.0143884892086331,0.0467625899280576,0,0,0.00359712230215827,0.0233812949640288,0.079136690647482,0.0611510791366906,0.0215827338129496,0.0467625899280576,0.0503597122302158,0.0503597122302158,0.0323741007194245,0.00359712230215827,0.0359712230215827,0.0287769784172662,0,0.00359712230215827,0.0143884892086331
3828650,自营 360手机 N4S 全网通 高配骁龙版 流光金 4GB+64GB 移动联通电信4G手机 双卡双待,1299,360,5.5,800,1600,1,1,0,126390,120979,3040,2371,3828650,44.7122128174123,0.0665054413542926,0.0652962515114873,0.0217654171704958,0.0181378476420798,0.0350665054413543,0.0169286577992745,0.00362756952841596,0.146311970979444,0.0882708585247884,0.0785973397823458,0.0399032648125756,0.0471584038694075,0.0145102781136638,0.0725513905683192,0.0677146311970979,0.0169286577992745,0.060459492140266,0.0169286577992745,0.0399032648125756,0.026602176541717,0.0677146311970979
10162503058,京东配送 21KE M3 全网通高配版移动联通电信4G手机 富贵黄 常规版,999,21KE,4.7,200,800,0,1,0,364,338,16,10,10162503058,43.4955752212389,0.0206489675516224,0.0265486725663717,0.00589970501474926,0.00884955752212389,0.0324483775811209,0.0176991150442478,0.00294985250737463,0.0176991150442478,0.0855457227138643,0.023598820058997,0.0294985250737463,0.0383480825958702,0.106194690265487,0.00884955752212389,0.0176991150442478,0.056047197640118,0.0619469026548673,0.0147492625368732,0.00884955752212389,0.00589970501474926,0.0117994100294985
10162503062,京东配送 21KE M3 全网通高配版移动联通电信4G手机 炫丽金 常规版,999,21KE,4.7,200,800,0,1,0,364,338,16,10,10162503062,38.1238095238095,0.0174603174603175,0.0253968253968254,0.00634920634920635,0.00634920634920635,0.0317460317460317,0.0126984126984127,0.00317460317460317,0.0158730158730159,0.0793650793650794,0.0222222222222222,0.0222222222222222,0.0317460317460317,0.1,0.00476190476190476,0.0142857142857143,0.0555555555555556,0.0492063492063492,0.0126984126984127,0.00952380952380952,0.00476190476190476,0.0126984126984127
10669260214,京东配送 21KE M3L 移动4G智能老人手机 钛晶灰 标准版,699,21KE,5,200,800,0,1,0,318,299,13,6,10669260214,36.9214285714286,0.0375,0.0357142857142857,0.0178571428571429,0.00357142857142857,0.0178571428571429,0.00892857142857143,0.00357142857142857,0.0357142857142857,0.0607142857142857,0.0285714285714286,0.0267857142857143,0.0357142857142857,0.0714285714285714,0.0107142857142857,0.00714285714285714,0.0714285714285714,0.05,0.0107142857142857,0.0107142857142857,0.00714285714285714,0.0125
10669260216,京东配送 21KE M3L 移动4G智能老人手机 富贵金 标准版,699,21KE,5,200,800,0,1,0,319,300,13,6,10669260216,36.9214285714286,0.0375,0.0357142857142857,0.0178571428571429,0.00357142857142857,0.0178571428571429,0.00892857142857143,0.00357142857142857,0.0357142857142857,0.0607142857142857,0.0285714285714286,0.0267857142857143,0.0357142857142857,0.0714285714285714,0.0107142857142857,0.00714285714285714,0.0714285714285714,0.05,0.0107142857142857,0.0107142857142857,0.00714285714285714,0.0125
