证券代码,证券简称,GICS行业名称,证监会行业名称,省份,专利数量,研发人员占比(%),研发费用总额(元),研发费用总额-占资产比(%),研发费用总额-占营业收入比(%),研发费用总额-占营业总成本比(%),研发项目个数,营业收入增长率(%),营业总收入增长率(%),营业利润增长率(%),净资产收益率ROE(摊薄)(%),净资产收益率ROE(加权)(%),净资产收益率ROE(扣除)(%),总资产报酬率(ROA)(%),资产总计(元),资产负债率(%),Z指数,Q_2021,Q_2022,log_Q_2021,log_Q_2022,log_Asset,score
688139,海尔生物,生命科学工具和服务,专用设备制造业,山东,197,27.19,236307039,4.8228,11.12,13.9966,0,0.5163,0.5163,1.2487,23.3255,26.4128,23.3255,19.6693,4899828998,25.7372,2.183757743,4.037818,3.217902,1.395704447,1.168729594,22.31246614,0.000304878
688155,先惠技术,汽车零配件,专用设备制造业,上海,11,36.38,98523152.07,4.6937,8.94,9.8958,0,1.1936,1.1936,0.2129,5.8886,6.1732,5.8886,3.8903,2099051290,42.4994,2,1.775139,2.016085,0.57387873,0.701157512,21.46475131,0.000319489
688156,路德环境,商业服务与商业用品,生态保护和环境治理业,湖北,36,13.81,15949008.29,1.5877,4.18,5.3843,0,0.5256,0.5256,0.3974,9.8093,10.2219,9.8093,9.0631,1004559208,19.0499,5.480417755,1.242067,1.929838,0.216776927,0.657436062,20.72781468,0.000153374
688169,石头科技,家庭耐用消费品,电气机械和器材制造业,北京,289,58.29,440800628,4.4946,7.55,9.7933,0,0.2884,0.2884,0.0267,16.5161,17.974,16.5161,16.3085,9807393894,13.4066,2.615558061,6.76303,2.920809,1.911471014,1.071860633,23.00640242,0.001341886
688180,君实生物,制药,医药制造业,上海,14,31.94,2068739301,18.7472,51.4,43.7527,0,1.5236,1.5236,0.6629,-9.0736,-10.4685,-9.0736,-5.2465,11034911101,24.6358,2.497925311,1.692201,4.056177,0.526030048,1.400240904,23.12432982,0.000327869
688181,八亿时空,电子设备、仪器和元件,计算机、通信和其他电子设备制造业,北京,98,22.25,52441400,2.4302,5.91,7.7972,0,0.3671,0.3671,0.2117,11.2544,11.7301,11.2544,11.5024,2157894235,14.8853,2.054435484,2.319472,1.755158,0.841339574,0.562558881,21.49239869,0.000315457
688183,生益电子,电子设备、仪器和元件,计算机、通信和其他电子设备制造业,广东,62,13.34,189579658.6,2.9491,5.2,5.6387,0,0.0038,0.0038,-0.4952,6.7695,9.0417,6.7695,5.0011,6428296588,39.2702,8.099099099,1.173402,1.275945,0.159907222,0.243687081,22.58397542,0.00156785
688188,柏楚电子,软件,软件和信息技术服务业,上海,19,45.04,138138029,4.3873,15.12,34.8073,0,0.6002,0.6002,0.5288,18.4055,20.0726,18.4055,19.4955,3148597586,4.7465,1.278558338,3.531788,3.255484,1.261804258,1.180340959,21.87022298,0.000251889
688200,华峰测控,半导体产品与设备,专用设备制造业,北京,37,34.28,94044119.58,3.2266,10.71,24.1532,0,1.2096,1.2096,1.1093,16.7401,18.452,16.7401,17.4403,2914631551,10.0711,1.645625692,4.908267,6.565988,1.590920926,1.881902991,21.79300925,0.008495367
688202,美迪西,制药,研究和试验发展,上海,12,86.76,77758296.33,4.3354,6.66,9.1624,0,0.7528,0.7528,1.1313,21.2596,23.0309,21.2596,18.1159,1793571687,25.9851,1.583417594,6.166434,7.167048,1.819120713,1.969493854,21.30747482,0.002972973
